,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1339,2014.0,11,Eagles,0.3333333333333333,1.0,0.7777777777777778,Packers,251.66666666666666,22.0,15.88888888888889,DST,115.22222222222223,3.5555555555555554,0.0,366.8888888888889,1.0,0.4444444444444444
1349,2014.0,12,Eagles,0.5,0.9,0.7,Titans,263.0,25.1,14.8,DST,114.7,3.3,0.0,377.7,0.9,0.5
1381,2014.0,13,Eagles,0.45454545454545453,1.0,0.7272727272727273,Cowboys,266.27272727272725,25.0,15.090909090909092,DST,109.0,3.4545454545454546,0.0,375.27272727272725,0.9090909090909091,0.45454545454545453
1426,2014.0,14,Eagles,0.4166666666666667,1.0,0.8333333333333334,Seahawks,258.5833333333333,23.75,15.25,DST,107.66666666666667,3.5,0.0,366.25,0.8333333333333334,0.5
1463,2014.0,15,Eagles,0.38461538461538464,1.0769230769230769,0.7692307692307693,Cowboys,258.0769230769231,23.76923076923077,14.615384615384615,DST,113.84615384615384,3.3846153846153846,0.0,371.9230769230769,0.7692307692307693,0.46153846153846156
1493,2014.0,16,Eagles,0.35714285714285715,1.0714285714285714,0.7142857142857143,Redskins,257.42857142857144,24.785714285714285,13.928571428571429,DST,113.92857142857143,3.357142857142857,0.0,371.35714285714283,0.7142857142857143,0.42857142857142855
1519,2014.0,17,Eagles,0.3333333333333333,1.0666666666666667,0.7333333333333333,Giants,253.93333333333334,24.933333333333334,13.466666666666667,DST,113.0,3.2666666666666666,0.0,366.93333333333334,0.6666666666666666,0.4666666666666667
3091,2015.0,1,Eagles,0.0,0.0,2.0,Falcons,290.0,26.0,6.0,DST,105.0,1.0,0.0,395.0,0.0,1.0
3114,2015.0,2,Eagles,0.0,0.0,2.0,Cowboys,290.0,26.0,6.0,DST,105.0,1.0,0.0,395.0,0.0,1.0
3138,2015.0,3,Eagles,0.0,1.0,1.0,Jets,270.0,23.0,8.5,DST,107.0,2.0,0.0,377.0,0.0,0.5
3191,2015.0,4,Eagles,0.0,1.0,1.6666666666666667,Redskins,272.0,21.0,12.0,DST,87.0,1.6666666666666667,0.0,359.0,0.3333333333333333,0.6666666666666666
3203,2015.0,5,Eagles,0.0,1.0,1.25,Saints,276.5,21.5,10.0,DST,97.0,1.5,0.0,373.5,0.25,0.75
3227,2015.0,6,Eagles,0.0,1.4,1.2,Giants,279.6,20.6,11.4,DST,96.8,2.2,0.0,376.4,0.2,0.6
3270,2015.0,7,Eagles,0.0,1.3333333333333333,1.3333333333333333,Panthers,260.6666666666667,18.333333333333332,13.166666666666666,DST,94.16666666666667,2.3333333333333335,0.0,354.8333333333333,0.3333333333333333,0.5
3312,2015.0,9,Eagles,0.0,1.1428571428571428,1.5714285714285714,Cowboys,250.57142857142858,19.571428571428573,12.428571428571429,DST,109.85714285714286,2.142857142857143,0.0,360.42857142857144,0.2857142857142857,0.5714285714285714
3350,2015.0,10,Eagles,0.0,1.0,1.5,Dolphins,253.875,20.5,12.5,DST,112.875,2.375,0.0,366.75,0.375,0.625
